,User Name,Heading,Rating,Review
0,Rajesh Dandapat,Wonderful,5,Osm productREAD MORE
1,Flipkart Customer,Could be way better,5,Bad working of phone not working as expectedREAD MORE
2,Subhrajit Sahoo,Excellent,5,Excellent phoneREAD MORE
3,Hardik Maheshwari,Awesome,3,Awesome budget phoneREAD MORE
4,jeetendra  panthi,Nice,4,"Sometimes this phone is hang,so please don't buy this product....READ MORE"
5,amit garg,Good quality product,4,Very nice lookin mobile this priceREAD MORE
6,Raja  Thakur,Not recommended at all,5,Camera not goodREAD MORE
7,Flipkart Customer,Nice product,3,GoodREAD MORE
8,Ankit Kumar,Fabulous!,2,Nice mobile and good workingREAD MORE
9,Yogesh  Maurya,Fair,1,Good cameraAverage for gamingNo heating problemsVery bad battery BackupREAD MORE
10,Saptak Mukherjee,Must buy!,5,GoodREAD MORE
11,Flipkart Customer,Really Nice,4,"Working smoothly, nice specifications.READ MORE"
12,Suraj  Yadav,Expected a better product,4,Very bad product front camera is very low qualityREAD MORE
13,Giri Hassan,Worth the money,4,Rare camera is awesome. Selfie camera not got what we expected. Over all good atv this price.READ MORE
14,sairam guttula,Wonderful,5,Cameras good Looking classy Display excellentREAD MORE
15,Sreekandan K,Terrific purchase,5,Camera very niceREAD MORE
16,Flipkart Customer,Wonderful,3,Good product good performance good battery backup heavy weight good lookREAD MORE
17,Tofik malek Malek,Good,5,niceREAD MORE
18,Suraj Sahu,Wonderful,4,Nice but not wellREAD MORE
19,Flipkart Customer,Wonderful,2,Nice budget MobileREAD MORE
20,Ashutosh Murari,Pretty good,4,Good productREAD MORE
21,Jegadheesh Mouli ,Worthless,4,Worst damage product arrived sim slot bended and display problems dont buy in online ...READ MORE
22,Saurab Gaur,Good quality product,4,Nice mobile justified priceREAD MORE
23,Amit  Kumar sir,Delightful,5,GoodREAD MORE
24,Flipkart Customer,Terrific,5,It's a very good phone compared with other phonesREAD MORE
25,Rakesh  Negi,Awesome,5,OkkREAD MORE
26,Flipkart Customer,Did not meet expectations,4,3rd Class Camera Both Front & Backside!! Don't buy this product!! Full waste of money!!READ MORE
27,Salauddin Ansari,Fabulous!,5,Low budget for good mobile.READ MORE
28,Ajit Biswas,Really Nice,1,Good product but macro lens is not good. And camera noise is maximum in low light.READ MORE
29,Rofiul Mallick,Classy product,1,GoodREAD MORE
30,Narendra  Pilley ,Mind-blowing purchase,5,Nice mobileREAD MORE
31,Flipkart Customer,Brilliant,5,BestREAD MORE
32,Rahul Manikpuri,Fair,3,GoodREAD MORE
33,muhammed shibili,Terrific,5,It's good performanceREAD MORE
34,TAMILSELVAN  K,Classy product,5,GoodREAD MORE
35,Flipkart Customer,Fabulous!,5,Nice product. Best at this price.READ MORE
36,Sathya Ganesan,Worth every penny,5,Nice mobileREAD MORE
37,jasvir singh,Decent product,3,Very poor performance. 4gb ram but work like 1 gb. Not a good productREAD MORE
38,sanjay lodhi,Awesome,5,Low weight mobile Op camera etcMust buyREAD MORE
39,Sachin Pawar,Wonderful,4,Nice phonREAD MORE
40,Bandela Julay ravi,Pretty good,4,"Good awesome spr.,....READ MORE"
41,Anurag  Jaiswal,Mind-blowing purchase,5,Best out of BEStREAD MORE
42,Flipkart Customer,Decent product,3,GoodREAD MORE
43,Yogesh Suryawanshi,Not good,5,Camera quality is not good.READ MORE
44,Flipkart Customer,Brilliant,5,Thanks to flipkart for great deal on great brandREAD MORE
45,Priyanka Pal,Terrific purchase,4,Awesome phoneREAD MORE
46,pallab saikia,Wonderful,4,It's great....READ MORE
47,CHANDER PAL BURMAN,Worth the money,5,Best productREAD MORE
48,Aashish ar,Mind-blowing purchase,5,This is what happens when the photo is zoomedREAD MORE
49,Sukhdeo Kumar Saw,Terrific purchase,2,Very good phoneREAD MORE
50,Dulan uria,Not good,5,Selfie camera not goodREAD MORE
51,Flipkart Customer,Great product,5,Excellent phone in  this price segmentREAD MORE
52,Piyush kumar  Sharma,Wonderful,5,NicrREAD MORE
53,DINESH KUMAR BODDETI,Brilliant,4,NiceREAD MORE
54,uday kumar,Very Good,5,BestREAD MORE
55,Biplab Saha,Brilliant,5,Better than other at this priceREAD MORE
56,Sajan  Kumar ,Brilliant,5,Great phone I like itREAD MORE
57,Javed Siddique,Highly recommended,5,Value for moneyREAD MORE
58,Flipkart Customer,Must buy!,5,Good mobile Big screen Big battery And many moreREAD MORE
59,Flipkart Customer,Fabulous!,2,Good product.. by realmeREAD MORE
60,Sahil Sharma,Fabulous!,5,Nice productREAD MORE
61,Narendra  Pilley ,Mind-blowing purchase,5,Nice mobileREAD MORE
62,Flipkart Customer,Brilliant,5,BestREAD MORE
63,Rahul Manikpuri,Fair,3,GoodREAD MORE
64,muhammed shibili,Terrific,5,It's good performanceREAD MORE
65,TAMILSELVAN  K,Classy product,5,GoodREAD MORE
66,Flipkart Customer,Fabulous!,5,Nice product. Best at this price.READ MORE
67,Sathya Ganesan,Worth every penny,5,Nice mobileREAD MORE
68,jasvir singh,Decent product,3,Very poor performance. 4gb ram but work like 1 gb. Not a good productREAD MORE
69,sanjay lodhi,Awesome,5,Low weight mobile Op camera etcMust buyREAD MORE
70,Sachin Pawar,Wonderful,4,Nice phonREAD MORE
71,Lokesh Bagul,Worth the money,4,Overall good mobile only the thing missing that is FHD Display otherwise good mobile in this price..Performance not upto the mark it's kind a little bit slow to open apps n all Camera is good for this price rangeAnd there is no fast charging as per they said it's take almost 2/2.30 hrs  to charged full.. I will give 3.5 star ..READ MORE
72,Nitin Singh,Good,3,Apps taking too much time to open and respond slowly. Need to restart again and again. Not satisfied as per expectations.READ MORE
73,gayatri Pitagi,Pretty good,4,NiceREAD MORE
74,Shaik Abdul vaheed,Very Good,4,Best in segmentREAD MORE
75,Anas Affu,Awesome,5,AmazingREAD MORE
76,Mona Sona,Perfect product!,5,NiceREAD MORE
77,MANISH KUMAR,Good choice,4,Very niceREAD MORE
78,sarfaraz hussain,Worthless,5,"Worse, don't buy it.READ MORE"
79,Flipkart Customer,Worth every penny,1,Very good phoneREAD MORE
80,Krishna Aich,Very Good,4,GdREAD MORE
81,Pramod  verma,Mind-blowing purchase,5,Very nice cerema avrag bettrey goodREAD MORE
82,Shivanand Bulla,Must buy!,5,AwesomeREAD MORE
83,Rahul Kumar,Simply awesome,5,GoodREAD MORE
84,Sunil Shidagoudar,Fabulous!,5,Nice Looking MobileREAD MORE
85,oruganti kiran kumar,Good,3,Avg mobileREAD MORE
